index,datetime,symbol,model_dqn_GOOG_50_profit,model_t-dqn_GOOG_10_profit,model_double-dqn_GOOG_50_profit
0,2023-01-13 23:12:55.212216-05:00,AGYS,15.0,29.88,9.67
1,2023-01-13 23:12:55.212216-05:00,PCG,-0.38,0.0,-0.21
2,2023-01-13 23:12:55.212216-05:00,TSLA,12.16,-159.12,-109.76
3,2023-01-14 07:17:18.485249-05:00,AGYS,15.0,29.88,9.67
4,2023-01-14 07:17:18.485249-05:00,PCG,-0.38,0.0,-0.21
5,2023-01-14 07:17:18.485249-05:00,TSLA,12.16,-159.12,-109.76
6,2023-01-14 07:17:18.485249-05:00,ADMA,-0.11,0.0,-0.11
7,2023-01-14 07:17:18.485249-05:00,AGI,-0.3,0.0,-0.43
8,2023-01-14 07:17:18.485249-05:00,AGYS,15.0,29.88,9.67
9,2023-01-14 07:17:18.485249-05:00,ALDX,-0.02,0.0,0.02
10,2023-01-14 07:17:18.485249-05:00,AM,0.61,0.0,-0.08
11,2023-01-14 07:17:18.485249-05:00,AMLX,-1.39,3.12,6.98
12,2023-01-14 07:17:18.485249-05:00,AMPY,1.09,3.06,0.11
13,2023-01-14 07:17:18.485249-05:00,ARDX,0.1,0.0,-0.03
14,2023-01-14 07:17:18.485249-05:00,ARL,1.11,13.87,-1.43
15,2023-01-14 07:17:18.485249-05:00,ASC,0.23,0.0,-0.1
16,2023-01-14 07:17:18.485249-05:00,ASRT,0.04,0.0,-0.23
17,2023-01-14 07:17:18.485249-05:00,ASUR,0.07,2.7,0.09
18,2023-01-14 07:17:18.485249-05:00,ATI,-1.33,17.26,-1.45
19,2023-01-14 07:17:18.485249-05:00,ATXS,1.13,16.32,0.25
20,2023-01-14 07:17:18.485249-05:00,AVEO,0.0,0.0,0.0
21,2023-01-14 07:17:18.485249-05:00,AVTE,1.62,9.5,-1.64
22,2023-01-14 07:17:18.485249-05:00,BELFB,1.208,1.488,0.798
23,2023-01-14 07:17:18.485249-05:00,CAAP,-0.05,0.0,-0.19
24,2023-01-14 07:17:18.485249-05:00,CAAS,0.06,0.0,0.06
25,2023-01-14 07:17:18.485249-05:00,CECO,-0.22,1.63,-0.24
26,2023-01-14 07:17:18.485249-05:00,CEG,-2.99,-3.21,-5.39
27,2023-01-14 07:17:18.485249-05:00,CEIX,-11.2,-17.92,-3.39
28,2023-01-14 07:17:18.485249-05:00,CEPU,0.115,0.0,0.01
29,2023-01-14 07:17:18.485249-05:00,CMPX,0.13,0.0,0.01
30,2023-01-14 07:17:18.485249-05:00,CNCE,0.09,8.77,0.08
31,2023-01-14 07:17:18.485249-05:00,COLL,-0.07,26.88,-0.18
32,2023-01-14 07:17:18.485249-05:00,CPI,-0.098,0.0,-0.218
33,2023-01-14 07:17:18.485249-05:00,CPRX,2.83,4.27,-0.46
34,2023-01-14 07:17:18.485249-05:00,CRT,4.822,11.309,-1.003
35,2023-01-14 07:17:18.485249-05:00,CVRX,0.67,14.0,-1.35
36,2023-01-14 07:17:18.485249-05:00,DCPH,3.84,26.29,-0.18
37,2023-01-14 07:17:18.485249-05:00,EDAP,-0.34,0.0,-0.05
38,2023-01-14 07:17:18.485249-05:00,EDN,0.08,12.79,0.0
39,2023-01-14 07:17:18.485249-05:00,EDU,0.48,30.32,2.01
40,2023-01-14 07:17:18.485249-05:00,ELF,-3.89,2.26,3.52
41,2023-01-14 07:17:18.485249-05:00,FENC,-0.07,0.0,-0.12
42,2023-01-14 07:17:18.485249-05:00,FTI,0.52,0.0,0.02
43,2023-01-14 07:17:18.485249-05:00,GERN,0.32,0.0,-0.05
44,2023-01-14 07:17:18.485249-05:00,GNE,0.18,0.0,-0.06
45,2023-01-14 07:17:18.485249-05:00,HDSN,-0.28,0.0,-0.57
46,2023-01-14 07:17:18.485249-05:00,HGBL,-0.08,0.0,-0.02
47,2023-01-14 07:17:18.485249-05:00,HNRG,-0.26,2.43,-0.16
48,2023-01-14 07:17:18.485249-05:00,IBEX,-2.38,-0.96,-0.67
49,2023-01-14 07:17:18.485249-05:00,IMCR,0.68,-1.28,8.39
50,2023-01-14 07:17:18.485249-05:00,IMRA,0.11,0.0,-0.06
51,2023-01-14 07:17:18.485249-05:00,IMVT,0.11,16.67,0.11
52,2023-01-14 07:17:18.485249-05:00,INSW,4.89,-6.83,-0.87
53,2023-01-14 07:17:18.485249-05:00,KDNY,-0.15,0.35,-0.16
54,2023-01-14 07:17:18.485249-05:00,LYTS,0.54,0.0,-0.23
55,2023-01-14 07:17:18.485249-05:00,MLTX,1.395,13.085,0.08
56,2023-01-14 07:17:18.485249-05:00,MOD,0.72,7.58,-0.43
57,2023-01-14 07:17:18.485249-05:00,MVO,0.964,9.186,0.36
58,2023-01-14 07:17:18.485249-05:00,MYOV,-0.09,0.0,-0.09
59,2023-01-14 07:17:18.485249-05:00,NINE,5.55,17.37,0.34
60,2023-01-14 07:17:18.485249-05:00,NVCN,1.75,35.69,0.19
61,2023-01-14 07:17:18.485249-05:00,PAM,-0.22,12.64,-0.22
62,2023-01-14 07:17:18.485249-05:00,PBF,0.85,15.76,1.81
63,2023-01-14 07:17:18.485249-05:00,PBYI,-0.01,0.0,-0.02
64,2023-01-14 07:17:18.485249-05:00,PDS,9.17,13.04,13.7
65,2023-01-14 07:17:18.485249-05:00,PFMT,0.17,0.0,0.17
66,2023-01-14 07:17:18.485249-05:00,PMTS,-0.09,10.45,2.94
67,2023-01-14 07:17:18.485249-05:00,PWSC,1.0,4.98,0.3
68,2023-01-14 07:17:18.485249-05:00,PXS,-0.11,0.0,-0.1
69,2023-01-14 07:17:18.485249-05:00,RYTM,-2.81,9.91,1.09
70,2023-01-14 07:17:18.485249-05:00,SBR,-0.07,25.357,15.369
71,2023-01-14 07:17:18.485249-05:00,SGFY,-0.19,0.0,-0.19
72,2023-01-14 07:17:18.485249-05:00,SGML,0.25,0.0,-0.3
73,2023-01-14 07:17:18.485249-05:00,SLB,0.82,26.8,1.51
74,2023-01-14 07:17:18.485249-05:00,SMCI,-11.15,-0.26,4.38
75,2023-01-14 07:17:18.485249-05:00,SMHI,-0.09,0.0,-0.1
76,2023-01-14 07:17:18.485249-05:00,STLD,17.643,9.426,27.451
77,2023-01-14 07:17:18.485249-05:00,STNG,4.92,-17.13,6.33
78,2023-01-14 07:17:18.485249-05:00,SURG,-0.18,0.0,0.22
79,2023-01-14 07:17:18.485249-05:00,SWIR,-0.08,5.46,-0.08
80,2023-01-14 07:17:18.485249-05:00,TAL,-1.21,8.26,0.94
81,2023-01-14 07:17:18.485249-05:00,TCOM,2.13,10.33,0.22
82,2023-01-14 07:17:18.485249-05:00,TDW,0.97,19.79,7.43
83,2023-01-14 07:17:18.485249-05:00,TEDU,-0.44,0.0,-0.51
84,2023-01-14 07:17:18.485249-05:00,TGS,0.01,11.15,0.01
85,2023-01-14 07:17:18.485249-05:00,TH,1.84,3.36,0.05
86,2023-01-14 07:17:18.485249-05:00,TKC,0.15,0.0,0.22
87,2023-01-14 07:17:18.485249-05:00,TMDX,-1.2,-7.88,-10.66
88,2023-01-14 07:17:18.485249-05:00,TNK,3.63,-11.92,0.85
89,2023-01-14 07:17:18.485249-05:00,TNP,0.46,0.0,0.02
90,2023-01-14 07:17:18.485249-05:00,TRMD,3.42,-3.3,0.37
91,2023-01-14 07:17:18.485249-05:00,TUSK,0.9,3.45,0.5
92,2023-01-14 07:17:18.485249-05:00,UFPT,4.39,1.3,7.3
93,2023-01-14 07:17:18.485249-05:00,ULH,-1.55,-0.73,-0.91
94,2023-01-14 07:17:18.485249-05:00,VECT,0.065,0.0,0.065
95,2023-01-14 07:17:18.485249-05:00,VIPS,1.03,3.88,-0.1
96,2023-01-14 07:17:18.485249-05:00,VIST,0.58,9.46,0.14
97,2023-01-14 07:17:18.485249-05:00,VOC,0.56,11.83,-0.06
98,2023-01-14 07:17:18.485249-05:00,VRNA,-0.14,43.735,0.37
99,2023-01-14 07:17:18.485249-05:00,VTRU,-1.33,-0.39,0.45
100,2023-01-14 07:17:18.485249-05:00,VVNT,-0.01,0.0,-0.01
101,2023-01-14 07:17:18.485249-05:00,WDH,0.07,0.0,0.07
102,2023-01-14 07:17:18.485249-05:00,WFRD,4.73,17.69,1.04
103,2023-01-14 07:17:18.485249-05:00,WLFC,-0.74,46.65,-0.49
104,2023-01-14 07:17:18.485249-05:00,YPF,0.08,5.57,0.08
105,2023-01-14 07:17:18.485249-05:00,ZYXI,-0.2,3.8,-0.41
